year,estimator,L,cap,delta_bhm,delta_popgrowth
2030,IFE,1,30 C cap,-0.008938273078464842,-0.01520338311686864
2031,IFE,1,30 C cap,-0.010888476276888603,-0.018213134844663248
2032,IFE,1,30 C cap,-0.012967160613859496,-0.021487675682799523
2033,IFE,1,30 C cap,-0.01523412376468758,-0.025024514575580414
2034,IFE,1,30 C cap,-0.017694841405152317,-0.028822490234773013
2035,IFE,1,30 C cap,-0.020351549432602645,-0.03288003332103373
2036,IFE,1,30 C cap,-0.023308205527627246,-0.03724432027399727
2037,IFE,1,30 C cap,-0.026372311429469386,-0.04186442113950062
2038,IFE,1,30 C cap,-0.029637744709868352,-0.04673723280515274
2039,IFE,1,30 C cap,-0.03310620393740882,-0.05185932009519523
2040,IFE,1,30 C cap,-0.03677922004860246,-0.05722725372878412
2041,IFE,1,30 C cap,-0.040726318571635556,-0.06288552093282351
2042,IFE,1,30 C cap,-0.04480523476823006,-0.06878196124390612
2043,IFE,1,30 C cap,-0.049088635135982606,-0.07491355082494833
2044,IFE,1,30 C cap,-0.053576993991848676,-0.08127680003973381
2045,IFE,1,30 C cap,-0.05827055893386035,-0.08786800081955126
2046,IFE,1,30 C cap,-0.0631178906303862,-0.09473196064095069
2047,IFE,1,30 C cap,-0.06819565973989339,-0.10181650919949281
2048,IFE,1,30 C cap,-0.07347359353489136,-0.1091172368901443
2049,IFE,1,30 C cap,-0.0789508398108153,-0.11662953093547868
2050,IFE,1,30 C cap,-0.08462631931246667,-0.12434858049273179
2051,IFE,1,30 C cap,-0.09021953013857253,-0.13230954110693782
2052,IFE,1,30 C cap,-0.09622838750460605,-0.1404673080656581
2053,IFE,1,30 C cap,-0.1024240941924599,-0.14881484381183763
