ssp,spec,estimator,method,L,component,year,point,q025,q05,q10,q25,q50,q75,q90,q95,q975
SSP585,Interactive,AFE,Country resampling,1,IE,2090,0.11594483391253263,-1.2419400765029418,-0.6203799068382181,-0.30204214977941723,-0.04892383070732648,0.06880307492160254,0.17084283148411103,0.29479442903129127,0.4167940765230626,0.4997734163252625
SSP585,Interactive,AFE,Country resampling,1,IE,2091,0.11635959066749724,-1.338876188173109,-0.6597353445248472,-0.3256099404943791,-0.052317192636673615,0.06784799525956153,0.17252944251207927,0.29746965585191726,0.425077417616526,0.5099142261223149
SSP585,Interactive,AFE,Country resampling,1,IE,2092,0.11755077641846312,-1.4276206873021295,-0.7007544617617907,-0.35173557306412284,-0.05846623641955012,0.06586919399521118,0.17532761010391956,0.3022929266245759,0.43637330063367097,0.5334348049881171
SSP585,Interactive,AFE,Country resampling,1,IE,2093,0.11868225066854343,-1.5230503441232146,-0.7637886261889907,-0.36926936081726064,-0.0640546530394363,0.06588807193672297,0.17781711949292367,0.3088236009558864,0.4476348451535195,0.5541317861279783
SSP585,Interactive,AFE,Country resampling,1,IE,2094,0.11975372508269999,-1.6257702484506937,-0.8236211061577327,-0.38858117335535824,-0.07033483565602194,0.06335431312615103,0.178984654044496,0.31263903301116724,0.4594390611488622,0.5757508073382277
SSP585,Interactive,AFE,Country resampling,1,IE,2095,0.12076499458142675,-1.7364491046793522,-0.8886293578391976,-0.4302574243819048,-0.07726974496499528,0.062246565190873404,0.1798770158557835,0.32074826430099973,0.471079249318777,0.5934612205633487
SSP585,Interactive,AFE,Country resampling,1,IE,2096,0.12120269790012794,-1.8863409440041268,-0.9525422793738209,-0.4521841037291138,-0.08397783958536226,0.06118730166611347,0.18270600654076813,0.3208460357657339,0.4796077963831367,0.610631454824206
SSP585,Interactive,AFE,Country resampling,1,IE,2097,0.12214887087189141,-2.1335771333970035,-1.0282754626252155,-0.4869221340740093,-0.08962567918973766,0.06028628950229553,0.18392555738188324,0.33031318239020563,0.49500518485237477,0.6278702110992259
SSP585,Interactive,AFE,Country resampling,1,IE,2098,0.1230388477290838,-2.383305197233944,-1.120758021211874,-0.5158996703881475,-0.09535789263539515,0.05886699978297644,0.18497262128925576,0.3379112581840283,0.5035667188078795,0.645459325925333
SSP585,Interactive,AFE,Country resampling,1,IE,2099,0.12387272496916846,-2.579309404270278,-1.222025028103926,-0.548870724624394,-0.1037175016387242,0.05726472516924236,0.18685577833718775,0.34743568418841486,0.5157751472951088,0.6647012937826092
SSP585,Interactive,AFE,Country resampling,1,IE,2100,0.12465064938581283,-2.7929079932591168,-1.3447395167392042,-0.5833224224204347,-0.11177351041458233,0.056234651824630055,0.18796790060892865,0.35310380192395374,0.5281428317865586,0.6845822281119454
SSP585,Interactive,AFE,Country resampling,2,All,2021,-2.283323351759403e-5,-2.7613992388649536e-4,-2.483355447675806e-4,-1.9270906306240176e-4,-1.1089210327033805e-4,-2.6339622667181928e-5,6.189241361398423e-5,1.5607099014298688e-4,2.2100419288499906e-4,2.600947981646784e-4
SSP585,Interactive,AFE,Country resampling,2,All,2022,-1.0879560608723082e-4,-8.587574053506908e-4,-7.744607594667829e-4,-6.21737234264641e-4,-3.880314928573769e-4,-1.1943325775121139e-4,1.6898390197123137e-4,4.309799206755117e-4,5.615372146562601e-4,7.256232886053204e-4
SSP585,Interactive,AFE,Country resampling,2,All,2023,-2.2702425935772208e-4,-0.0018700920022190288,-0.0016683567455027968,-0.0013343458671253748,-8.205064698282027e-4,-2.3972498468760595e-4,3.9360914939262637e-4,9.158111511147429e-4,0.0012013080556799282,0.0015521146929776907
SSP585,Interactive,AFE,Country resampling,2,All,2024,-3.8136239024577634e-4,-0.003348045174028058,-0.0028303483739005155,-0.002307771757263377,-0.0014188804819609269,-3.859150562315894e-4,7.059824397718795e-4,0.001664826164774658,0.002163808106817421,0.002672764117253334
SSP585,Interactive,AFE,Country resampling,2,All,2025,-5.756647116520464e-4,-0.0051893151735240145,-0.004420455019087932,-0.00358204088146834,-0.0021789409905434987,-5.774063362458115e-4,0.0011669194041655784,0.0026076686027023846,0.0033966087282947697,0.0042745844202247574
SSP585,Interactive,AFE,Country resampling,2,All,2026,-8.559972965639373e-4,-0.007669637081979253,-0.006427257783073026,-0.005215592910028333,-0.0031707320606802203,-8.380654390335307e-4,0.0016393114130424102,0.0038471401721857706,0.004876593274338858,0.006120525009483272
SSP585,Interactive,AFE,Country resampling,2,All,2027,-0.0011546691680186516,-0.01041243341711367,-0.008914978113329669,-0.007134814526185129,-0.004256598731420758,-0.0011361673513918813,0.002290975424846853,0.005280073940814378,0.006718752930037339,0.008555522406487598
SSP585,Interactive,AFE,Country resampling,2,All,2028,-0.0015064751132123355,-0.013568742150916436,-0.011622176963501329,-0.009346236112204143,-0.005577829214194419,-0.0015285352196501845,0.00306434200191269,0.006855125058392298,0.008772999653562945,0.011265356897468054
SSP585,Interactive,AFE,Country resampling,2,All,2029,-0.0019152187563192813,-0.01732685868942772,-0.01480727543206714,-0.011881468614940839,-0.007119348971583284,-0.0019728174366446805,0.003927999918203751,0.00873045949003004,0.01121661283871762,0.014351508949532576
SSP585,Interactive,AFE,Country resampling,2,All,2030,-0.002384684282001226,-0.021597843506006076,-0.018193041317436518,-0.014722840279326865,-0.008855825070960333,-0.0024743414340938075,0.004998733545399259,0.010855220462046143,0.014149113701321499,0.01786587619528627
SSP585,Interactive,AFE,Country resampling,2,All,2031,-0.002999565287811201,-0.026242791189114253,-0.022342011228757307,-0.01797119846379933,-0.010856356361448716,-0.002770280019943061,0.006018752202422151,0.013179973035000115,0.01735135395826214,0.02170290985155414
SSP585,Interactive,AFE,Country resampling,2,All,2032,-0.0036119959214248043,-0.03121004991792133,-0.02666298099456833,-0.021499009837992022,-0.01303587338153811,-0.003349177768158018,0.007183518490519458,0.015997775116155123,0.02073067571787167,0.025973345857080048
SSP585,Interactive,AFE,Country resampling,2,All,2033,-0.004296018480253405,-0.03659010446986822,-0.031397652291113576,-0.025332339165090357,-0.015252293087425844,-0.004000419366882835,0.008496046884255593,0.018911724132542985,0.024274732544598287,0.030645964608111538
SSP585,Interactive,AFE,Country resampling,2,All,2034,-0.005055151447414863,-0.042374052194236275,-0.03661648412181491,-0.02955338834902278,-0.01781765738399435,-0.00472958029637055,0.009721859663853583,0.02196311927737447,0.02812786554793034,0.035715348895124024
SSP585,Interactive,AFE,Country resampling,2,All,2035,-0.0058928795178391224,-0.048549669063741745,-0.04208411125368714,-0.0341152762405411,-0.020530021643103857,-0.005354492131014299,0.011160946094962432,0.025334033511043314,0.03244026633263923,0.041364113277545
SSP585,Interactive,AFE,Country resampling,2,All,2036,-0.006930743969047137,-0.05535125883071671,-0.04809338707504807,-0.03910464697280744,-0.023590834523537663,-0.006194501012573628,0.01270454046035574,0.02902139787605562,0.03686919946071673,0.04771351459793782
SSP585,Interactive,AFE,Country resampling,2,All,2037,-0.007940750795684126,-0.06227355259271788,-0.054346313568461556,-0.044259918898739925,-0.026614842584322812,-0.006963509843034454,0.014233338856810107,0.03282228166463781,0.041845139792225636,0.054399727654338564
SSP585,Interactive,AFE,Country resampling,2,All,2038,-0.009037750353850793,-0.06949529108830585,-0.060991570827332864,-0.04981749843661258,-0.030017919757344497,-0.007906901755335538,0.015764766548720388,0.036652421447052747,0.047238373988915845,0.061454286235427515
SSP585,Interactive,AFE,Country resampling,2,All,2039,-0.010224851291842363,-0.0767218899265492,-0.0681018096857291,-0.05563338311060415,-0.033491178851618564,-0.00888254784524839,0.017299709717190748,0.0410318785767486,0.05298398191328874,0.0689891190333083
SSP585,Interactive,AFE,Country resampling,2,All,2040,-0.011505117408748822,-0.08501701634449252,-0.07529748133078128,-0.061631893812729745,-0.037309419068577904,-0.009756077721918444,0.019019121072721523,0.04572918076701596,0.05882289787784338,0.07701591383196447
SSP585,Interactive,AFE,Country resampling,2,All,2041,-0.012991365012482659,-0.09375107645315914,-0.08323682567746388,-0.06811462389306856,-0.04137467491776667,-0.011121206648638027,0.020579055343605768,0.0503253865127999,0.06488766061728694,0.08532301906416223
SSP585,Interactive,AFE,Country resampling,2,All,2042,-0.01445863177281359,-0.10270532177899185,-0.0908809682004577,-0.07485150112775071,-0.045531522564087684,-0.012557434577399607,0.022422857747875558,0.05549435642709837,0.07150714236764336,0.09434807738836344
SSP585,Interactive,AFE,Country resampling,2,All,2043,-0.016024632105669956,-0.11183549844801494,-0.09875245593926239,-0.0819309390251544,-0.04985452514434621,-0.013927222511568471,0.024403330178669747,0.06066944001631194,0.07846472492470258,0.10389945112102357
SSP585,Interactive,AFE,Country resampling,2,All,2044,-0.01769198442891695,-0.12147873774299492,-0.10708388697196472,-0.0891368065766644,-0.054311165448886506,-0.015261010027880773,0.026531616968128502,0.06601365294961066,0.08576491514611399,0.11399150443552243
SSP585,Interactive,AFE,Country resampling,2,All,2045,-0.01946325307159469,-0.13145714259107869,-0.11574997375840898,-0.09653646808843758,-0.05884528818031168,-0.01649915334889912,0.028736203521683934,0.07154237832652989,0.09340397497586025,0.12437294741425636
SSP585,Interactive,AFE,Country resampling,2,All,2046,-0.02136314263724337,-0.14173793260805123,-0.12461340137158061,-0.10440728895704551,-0.06356468171686158,-0.017793094400970932,0.0309854049218109,0.07750557976923926,0.10123711240886396,0.13494605925023817
SSP585,Interactive,AFE,Country resampling,2,All,2047,-0.023322120037516658,-0.15226384649022448,-0.13380921363779263,-0.11244609001361075,-0.0687004426744234,-0.019325623204242526,0.03370425993437409,0.08386435763450706,0.10956052676235532,0.14593454532427858
SSP585,Interactive,AFE,Country resampling,2,All,2048,-0.02538771231516912,-0.1632163064387682,-0.14325045320992025,-0.12076266462772259,-0.07395252445524331,-0.021083288481680063,0.037037875911847595,0.09070941867574933,0.11840596500064925,0.15736928681206544
SSP585,Interactive,AFE,Country resampling,2,All,2049,-0.027562019097949975,-0.17439646553185686,-0.15292617660888383,-0.12924521894573365,-0.07908470689358435,-0.022839077095658855,0.03968237661608526,0.09775552958823258,0.1275890248776454,0.16927198612310226
SSP585,Interactive,AFE,Country resampling,2,All,2050,-0.0298470802166253,-0.18584565431597225,-0.16281341822608475,-0.13802625433014376,-0.08490158182100707,-0.02457207394934824,0.04217973197087288,0.10511028876147904,0.1371210695648412,0.18165163743304066
