variable,coef,estimate,std.error,p.value,spec,L,estimator
pre,b1,-0.00628792654587175,0.006910475938871697,0.3628688014175395,Direct,4,IFE
pre,b2,-0.005633757995220838,0.0069185212071049456,0.41547259843904266,Direct,4,IFE
pre,b3,0.005288859214973198,0.006914176128908512,0.44431336054653087,Direct,4,IFE
pre,b4,0.0018423530936043176,0.006910252276433351,0.7897682592354289,Direct,4,IFE
pre2,sum,-0.001666628077351556,0.003587734737027197,0.642264545254009,Direct,4,IFE
pre2,b0,-0.0031323463455696157,0.001517097284224054,0.03895167025449017,Direct,4,IFE
pre2,b1,8.762826601467257e-4,0.001525968341343048,0.5658007049199314,Direct,4,IFE
pre2,b2,0.0014324463334955918,0.0015424329085365653,0.35304831422488375,Direct,4,IFE
pre2,b3,-3.6986212061653736e-4,0.001531393301676944,0.8091521121932059,Direct,4,IFE
pre2,b4,-4.7314860480772057e-4,0.0015485829555556118,0.7599575807357295,Direct,4,IFE
tmp,sum,-0.004568043836376608,0.005307412524259571,0.38940808068119664,Direct,5,AFE
tmp,b0,0.010679006269394995,0.002618678958429758,4.542226960122996e-5,Direct,5,AFE
tmp,b1,-0.004940634025889614,0.0030112247634717848,0.10085159735133942,Direct,5,AFE
tmp,b2,-0.001594264969765384,0.0019745771921502522,0.4194385915025238,Direct,5,AFE
tmp,b3,-0.0019427662299388183,0.0020565346739007543,0.3448225055223612,Direct,5,AFE
tmp,b4,-6.495757658647903e-4,0.0020291816131814515,0.7488795511341447,Direct,5,AFE
tmp,b5,-0.006119809114312996,0.0037036969306946817,0.09846291996143086,Direct,5,AFE
tmp2,sum,4.935842741194935e-5,1.822591452689425e-4,0.786533672845499,Direct,5,AFE
tmp2,b0,-3.944071939935732e-4,9.186768635886198e-5,1.7610894649270867e-5,Direct,5,AFE
tmp2,b1,1.88237080042709e-4,1.1346783765227736e-4,0.09712655935493164,Direct,5,AFE
tmp2,b2,7.467114687831732e-5,8.08449277275806e-5,0.35567675798013276,Direct,5,AFE
tmp2,b3,-1.4287173079911196e-5,8.9539306743026e-5,0.873225215643914,Direct,5,AFE
tmp2,b4,2.349617952742913e-5,9.687508243715054e-5,0.8083609903512051,Direct,5,AFE
tmp2,b5,1.716483880369783e-4,1.1884759534778472e-4,0.14866216215942288,Direct,5,AFE
pre,sum,0.01191855742833481,0.021415677208709075,0.5778457009074748,Direct,5,AFE
pre,b0,0.01768880382215564,0.007628906638091788,0.02041374108494752,Direct,5,AFE
pre,b1,-0.003915626900452477,0.007786646512894952,0.6150596504754964,Direct,5,AFE
pre,b2,-0.0031505987270685548,0.008066514310825787,0.6961095839565976,Direct,5,AFE
pre,b3,-0.0032366950579723417,0.007319311523487432,0.6583350450072203,Direct,5,AFE
pre,b4,-0.002450389624278013,0.0071390639092962106,0.7314203037602013,Direct,5,AFE
pre,b5,0.0069830639159505535,0.005479289905817664,0.20250508761634387,Direct,5,AFE
pre2,sum,-0.0028792212284382617,0.00385951729878328,0.45566407755000043,Direct,5,AFE
pre2,b0,-0.004459228520817392,0.001460863678295415,0.002269736805116885,Direct,5,AFE
pre2,b1,5.474967431570953e-4,0.0015293926011954162,0.7203559419234589,Direct,5,AFE
pre2,b2,7.633695781171241e-4,0.0015325581881427892,0.6184124823228365,Direct,5,AFE
pre2,b3,0.0012781649750897813,0.0015007908692277114,0.3944023010965683,Direct,5,AFE
pre2,b4,8.509338199302399e-4,0.0013474130057226199,0.527693028839807,Direct,5,AFE
pre2,b5,-0.0018599578239151102,0.001062741145520557,0.08009220536240622,Direct,5,AFE
tmp,sum,0.0031234759456526522,0.005198557510372982,0.54794980734733445,Direct,5,IFE
tmp,b0,0.012415035395936056,0.0022921992808499644,6.087519326878251e-8,Direct,5,IFE
tmp,b1,-0.0016574877640718865,0.0024348993416844766,0.49604787710317194,Direct,5,IFE
tmp,b2,-0.0014666008768669213,0.002325543914408483,0.528270352577232,Direct,5,IFE
tmp,b3,-7.61998936530583e-4,0.0022802917545731182,0.7382533186170409,Direct,5,IFE
tmp,b4,-1.5758809128316523e-4,0.0023777842125898116,0.9471587383744006,Direct,5,IFE
tmp,b5,-0.005247883781530848,0.0022800855101986323,0.021356775391108456,Direct,5,IFE
tmp2,sum,-1.882078858942476e-4,1.7584753628345056e-4,0.2844887269392371,Direct,5,IFE
tmp2,b0,-4.3564477816211754e-4,8.185461638994849e-5,1.025325857300865e-7,Direct,5,IFE
tmp2,b1,1.5572115926350041e-4,8.570741285086875e-5,0.06923356877157362,Direct,5,IFE
