term,estimate,std.error,statistic,p.value,nobs,spec,L,estimator
pre,-0.006745227314005031,0.011577936853987315,-0.5825932028366563,0.5601671822341228,6212,Direct,2,IFE
pre2,-6.885514407380847e-5,0.002519346469739538,-0.027330557706470218,0.978196084441553,6212,Direct,2,IFE
tmp,0.002856071528340329,0.006122501087889981,0.46648771267505434,0.6408844068126457,6090,Direct,3,AFE
tmp2,-1.6125333868086353e-4,1.8871420935245473e-4,-0.8544843508826433,0.3928728668204373,6090,Direct,3,AFE
pre,0.007040272722528048,0.01620908174624761,0.4343412435536557,0.664057226512891,6090,Direct,3,AFE
pre2,-0.0026532376288955378,0.0028979190817361947,-0.9155664992916006,0.35993334126776744,6090,Direct,3,AFE
tmp,0.010542661586701411,0.0044179602409717056,2.3863188013621897,0.017017991390081193,6090,Direct,3,IFE
tmp2,-2.7856033654724517e-4,1.5603637283408185e-4,-1.7852269409225932,0.074224513735274,6090,Direct,3,IFE
pre,0.004478832068956665,0.014627687500203969,0.3061886623496853,0.7594610042670978,6090,Direct,3,IFE
pre2,-0.0012923641217389805,0.003138317297987901,-0.41180161182795827,0.6804848398821257,6090,Direct,3,IFE
tmp,0.0013781191063192795,0.006663050917761817,0.2068300427729889,0.836150206157926,5968,Direct,4,AFE
tmp2,-1.0840769701527195e-4,1.9715714267201314e-4,-0.5498542712987929,0.5824415326590227,5968,Direct,4,AFE
pre,0.007879228941630536,0.01925691476927734,0.40916361920036803,0.6824354338256833,5968,Direct,4,AFE
pre2,-0.0021142844127518775,0.003503903625721725,-0.603408266492028,0.546261867590794,5968,Direct,4,AFE
tmp,0.012123806363820632,0.00508277337861638,2.385273837867024,0.017066412411798126,5968,Direct,4,IFE
tmp2,-3.305988182588946e-4,1.7644574663768192e-4,-1.8736570563967996,0.06097770845323187,5968,Direct,4,IFE
pre,0.008313628525014872,0.016934597005025732,0.4909256785117243,0.6234790144444817,5968,Direct,4,IFE
pre2,-0.001666628077351556,0.003587734737027197,-0.46453492231494425,0.642264545254009,5968,Direct,4,IFE
tmp,-0.004568043836376608,0.005307412524259571,-0.860691309653547,0.3894462504365611,5846,Direct,5,AFE
