ssp,spec,estimator,L,year,point,q025,q05,q10,q25,q50,q75,q90,q95,q975
SSP585,Interactive,AFE,1,2067,-0.10475311485775762,-0.39569029005954803,-0.3603913692603327,-0.3173404220274918,-0.209907094324546,-0.0916162391892002,0.03650730984251682,0.1772983514051588,0.24258664325765553,0.3222478405712576
SSP585,Interactive,AFE,1,2068,-0.10976121176074882,-0.40890178287129414,-0.3730798383440674,-0.3281622332766138,-0.2171469741576707,-0.09562001828751399,0.03778286833559885,0.18514526476182208,0.2535865067295768,0.3383204828515193
SSP585,Interactive,AFE,1,2069,-0.11487648007502149,-0.42168251003639146,-0.3857825825980338,-0.33894230071981346,-0.22462564050472872,-0.09984694112180659,0.03903396260666492,0.19322035062111334,0.26487254752847095,0.3549314119590352
SSP585,Interactive,AFE,1,2070,-0.12009663986664387,-0.4343656019407645,-0.39848709253105113,-0.3500853031643506,-0.23224667206862604,-0.10415202796822493,0.04021257531650757,0.20153129981695958,0.2764490901188898,0.3721017662356264
SSP585,Interactive,AFE,1,2071,-0.12312022780071252,-0.4438967352379781,-0.4088693226785795,-0.35905854395352416,-0.23876207550370404,-0.10623030830276076,0.04348495422049703,0.2130359340106404,0.28998008801053243,0.38987268339399106
SSP585,Interactive,AFE,1,2072,-0.12834210259015721,-0.45620930316662855,-0.42140170567615814,-0.37013823227206916,-0.24613029827802288,-0.11058081960762517,0.04462850033918392,0.2216385612180672,0.3023485931256552,0.40826694660981455
SSP585,Interactive,AFE,1,2073,-0.13365092997146344,-0.46839877674116187,-0.4338970914578677,-0.381087759192276,-0.25408578357793155,-0.11498858632368403,0.04609882910792418,0.23045335253732516,0.31505883487265934,0.4272821457829225
SSP585,Interactive,AFE,1,2074,-0.1390438560902949,-0.4808293973513291,-0.4463444478943292,-0.39256372961687813,-0.26296115647694607,-0.11919426405358557,0.048243811813706405,0.2394854943919975,0.32811934951370386,0.4469381148576123
SSP585,Interactive,AFE,1,2075,-0.1445179420435282,-0.49363553955529044,-0.4587330929877983,-0.40376466016843,-0.27191916116152176,-0.12345675148799429,0.04996949339968898,0.2487404306954506,0.3415390563355407,0.46725558362079966
SSP585,Interactive,AFE,1,2076,-0.14714313890851283,-0.5057395398002622,-0.46977096315004435,-0.41078929047134055,-0.2783683249409732,-0.12626289914014743,0.05365072599526027,0.2623445165778998,0.3581885918899773,0.49114228503663376
SSP585,Interactive,AFE,1,2077,-0.1525809712428785,-0.5183616086136353,-0.48225691078020516,-0.42214940427447745,-0.28660169100355537,-0.13097007440389047,0.05538061792002591,0.27248090215839044,0.3726187332142444,0.5125424976135158
SSP585,Interactive,AFE,1,2078,-0.15808324326582524,-0.5304277575050789,-0.494677689890542,-0.4335881800806024,-0.29511312865081973,-0.13562316868140295,0.05810309157160459,0.28312956509895193,0.3874558789503025,0.5351314765553378
SSP585,Interactive,AFE,1,2079,-0.1636467116632313,-0.5420756518960858,-0.5070235447337911,-0.4446292504852841,-0.30280742561589874,-0.13925982762948985,0.059654415426469376,0.29386009749879893,0.40271168826771886,0.5606314043423183
SSP585,Interactive,AFE,1,2080,-0.16926808688225292,-0.5535649505881216,-0.519285016235487,-0.45515815076121097,-0.31090496962566305,-0.14332202014440282,0.0610757223270188,0.30476479773697857,0.42042211167813087,0.5871581772476552
SSP585,Interactive,AFE,1,2081,-0.17131377150565774,-0.5614927015655183,-0.52922628655011,-0.46395699518846933,-0.3154535187113026,-0.14638082996481283,0.06798644926437264,0.32094887815061585,0.4409651653821876,0.6117654905499005
SSP585,Interactive,AFE,1,2082,-0.17684153834310923,-0.573401141689892,-0.5411733175961976,-0.4743867403427593,-0.32451700283224333,-0.15044792372169224,0.06999470162029259,0.3323138762316946,0.4603566329787234,0.6402738266931005
