ssp,spec,estimator,L,ISO_C3,delta_2100
SSP585,Direct,AFE,0,GEO,0.4359589704865925
SSP585,Direct,AFE,0,GHA,-0.9162947094610545
SSP585,Direct,AFE,0,GIN,-0.9216717466807844
SSP585,Direct,AFE,0,GNB,-0.9490958906525735
SSP585,Direct,AFE,0,GNQ,-0.9086932266300276
SSP585,Direct,AFE,0,GRC,-0.6902764713853621
SSP585,Direct,AFE,0,GTM,-0.8902162386904533
SSP585,Direct,AFE,0,GUY,-0.9179083334216356
SSP585,Direct,AFE,0,HND,-0.915963258918647
SSP585,Direct,AFE,0,HRV,-0.2768198558938144
SSP585,Direct,AFE,0,HTI,-0.9135071935915449
SSP585,Direct,AFE,0,HUN,-0.1505521466338291
SSP585,Direct,AFE,0,IDN,-0.8657179314396565
SSP585,Direct,AFE,0,IND,-0.9031231284688077
SSP585,Direct,AFE,0,IRL,0.29794962626528676
SSP585,Direct,AFE,0,IRN,-0.6950791724026069
SSP585,Direct,AFE,0,IRQ,-0.941346558142505
SSP585,Direct,AFE,0,ISL,3.6387558723793143
SSP585,Direct,AFE,0,ISR,-0.8309101549477589
SSP585,Direct,AFE,0,ITA,-0.41500348942423804
SSP585,Direct,AFE,0,JAM,-0.9567886150202499
SSP585,Direct,AFE,0,JPN,-0.38432157955017077
SSP585,Direct,AFE,0,KAZ,0.840372776763531
SSP585,Direct,AFE,0,KEN,-0.764960450769437
SSP585,Direct,AFE,0,KGZ,3.7197985825406263
SSP585,Direct,AFE,0,KHM,-0.8991579956051696
SSP585,Direct,AFE,0,KOR,-0.09486863919100863
SSP585,Direct,AFE,0,LAO,-0.839860610258875
SSP585,Direct,AFE,0,LBN,-0.8374833433011846
SSP585,Direct,AFE,0,LBR,-0.8699898160909776
SSP585,Direct,AFE,0,LBY,-0.8546241221463038
SSP585,Direct,AFE,0,LKA,-0.8632783763344759
SSP585,Direct,AFE,0,LTU,1.1261701321536415
SSP585,Direct,AFE,0,LVA,1.3697330886286507
SSP585,Direct,AFE,0,MAR,-0.8253357426033351
SSP585,Direct,AFE,0,MDA,-0.19837828072525066
SSP585,Direct,AFE,0,MDG,-0.7858440098874011
SSP585,Direct,AFE,0,MEX,-0.7888953010588886
SSP585,Direct,AFE,0,MLI,-0.9718775684160269
SSP585,Direct,AFE,0,MMR,-0.8727868869429343
SSP585,Direct,AFE,0,MNG,11.214220931687521
SSP585,Direct,AFE,0,MOZ,-0.8973868208970169
SSP585,Direct,AFE,0,MRT,-0.9655266467106919
SSP585,Direct,AFE,0,MUS,-0.6871266301890604
SSP585,Direct,AFE,0,MWI,-0.8773244518175813
SSP585,Direct,AFE,0,MYS,-0.8623903786449263
SSP585,Direct,AFE,0,NAM,-0.9179422334733673
SSP585,Direct,AFE,0,NER,-0.9612309900894684
SSP585,Direct,AFE,0,NGA,-0.9197784528540425
SSP585,Direct,AFE,0,NIC,-0.9290463684162792
SSP585,Direct,AFE,0,NLD,0.10576188853461499
SSP585,Direct,AFE,0,NOR,2.876017061167152
SSP585,Direct,AFE,0,NPL,-0.4556385560701266
SSP585,Direct,AFE,0,NZL,-0.2805612920464422
SSP585,Direct,AFE,0,OMN,-0.960939320018963
SSP585,Direct,AFE,0,PAK,-0.9099931436161126
