ssp,spec,estimator,L,component,year,point,q025,q05,q10,q25,q50,q75,q90,q95,q975
SSP585,Interactive,AFE,1,IE,2073,0.0896912485393,-0.14692876921549186,-0.11139729186287123,-0.0666626179449635,0.008360650985236279,0.07546403695696835,0.13056915515354073,0.19361829498583075,0.2311510002219846,0.2570363303628292
SSP585,Interactive,AFE,1,IE,2074,0.09188903631102951,-0.1549900679429524,-0.11755034906312607,-0.06989207545207779,0.007825800066182387,0.07656409216516358,0.13425523167548967,0.19960445538712335,0.23613038523730798,0.26529914232893315
SSP585,Interactive,AFE,1,IE,2075,0.09404326407725105,-0.16334127978874813,-0.12488703806898156,-0.07303429224688905,0.006415995013647063,0.07724123974955521,0.13680372980360295,0.20430447625372833,0.2417374028536212,0.27509185726008184
SSP585,Interactive,AFE,1,IE,2076,0.09489189345147742,-0.1723064094160515,-0.13267513875232448,-0.0789527199669017,0.0037805048076039183,0.07712948153261878,0.137983245650338,0.20646043353818588,0.24471644483191146,0.28186883061553664
SSP585,Interactive,AFE,1,IE,2077,0.09692424958569146,-0.18491278389292767,-0.13921750769101535,-0.08593205081603214,0.0025665577317481036,0.07726955830565213,0.1405722495507312,0.21187308358671023,0.2532924849642457,0.29142992965161707
SSP585,Interactive,AFE,1,IE,2078,0.09890696487732631,-0.19602353348851692,-0.14722250161700445,-0.09216070955179347,0.0011835263180074163,0.07832439975488559,0.14355326590743808,0.21696132464436435,0.25932167097460507,0.3010949660329896
SSP585,Interactive,AFE,1,IE,2079,0.10083761895084031,-0.20792965536802416,-0.15286435552518693,-0.09821380788564482,-5.968777801479141e-4,0.07955961301138992,0.14706616429359434,0.22221011061979942,0.2668090844301208,0.3094547387238102
SSP585,Interactive,AFE,1,IE,2080,0.10271391855734835,-0.21826758459054119,-0.1622994761188137,-0.10235567251389027,-0.00223951506858569,0.08046130441357457,0.1491582434888047,0.22862530969651162,0.27521792035891895,0.3186840931275121
SSP585,Interactive,AFE,1,IE,2081,0.1033278371284061,-0.23880943731381013,-0.17312370835044436,-0.10581002586895272,-0.005725054465181456,0.07933825113328985,0.15081783151337438,0.2329157338006742,0.28159357199967344,0.3282598111877204
SSP585,Interactive,AFE,1,IE,2082,0.10508235349598571,-0.25465687192587905,-0.18806370076566756,-0.11250230898023827,-0.007391055200711399,0.07971413966827162,0.15379370606998238,0.23773925027414566,0.29067617047822847,0.3381928731352606
SSP585,Interactive,AFE,1,IE,2083,0.10677971138646947,-0.2671607793397145,-0.2001860867703592,-0.121526475473582,-0.009201254130729586,0.07957393438275617,0.15652866869773635,0.2413576531721941,0.2995345911924553,0.347320595367703
SSP585,Interactive,AFE,1,IE,2084,0.108418310584521,-0.28266891951467427,-0.2101563232208374,-0.12985210452316087,-0.012940168179347594,0.08026486600740151,0.15889596212865298,0.24564552753312938,0.307935719715507,0.3576952019423163
SSP585,Interactive,AFE,1,IE,2085,0.10999667743881592,-0.2949859201574559,-0.22349724608552918,-0.1378933676921673,-0.01633211343426949,0.08073304646816348,0.1611939150628013,0.25217005074697285,0.31462307849269106,0.3682128358785323
SSP585,Interactive,AFE,1,IE,2086,0.11045155731378264,-0.3120174164319225,-0.2368716608774441,-0.14757290201484544,-0.018727311741293523,0.08079827075601065,0.16193506659779044,0.2567255484446469,0.3211333705474904,0.3766046425097022
SSP585,Interactive,AFE,1,IE,2087,0.11191620034750094,-0.335671848258837,-0.24692594246044466,-0.15377902814448088,-0.020979631002580296,0.08098122358044951,0.1654084026549418,0.2633116933035506,0.33302181649338275,0.3875406567856797
SSP585,Interactive,AFE,1,IE,2088,0.11332052049061536,-0.36098482311773367,-0.26108033291804617,-0.16541764135684778,-0.023892850323173537,0.0806006171061941,0.16784968971088465,0.2700978490051308,0.34006791821373555,0.4014346434935195
SSP585,Interactive,AFE,1,IE,2089,0.11466365074603713,-0.40020619035643584,-0.28133434612313746,-0.17854195112983764,-0.028533733724061455,0.07921131311677548,0.17010103569985113,0.2746473919114484,0.348033486277787,0.4129245404019867
SSP585,Interactive,AFE,1,IE,2090,0.11594483391253263,-0.4298990440593551,-0.29542030219735343,-0.1915738563290369,-0.0301309954649521,0.07870668622722615,0.17196062695985817,0.2791509499107869,0.3564075585861162,0.4282344819381317
