ssp,estimator,method,L,component,year,point,q025,q05,q10,q25,q50,q75,q90,q95,q975,p_mitigate,panel
SSP585,AFE,Country resampling,0,IE,2098,0.0628219408232773,-0.03473732689388048,-0.01966988729244343,-2.441660233676195e-4,0.02828975569395597,0.06067837902449613,0.10258415519126382,0.15305024357013408,0.18730733934852517,0.2257069763988457,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2099,0.06365628889806774,-0.03629854043177797,-0.02150727951643013,-9.368385920579756e-4,0.02788415693516069,0.06148505620016831,0.10518833291982424,0.15831843240812218,0.19245665782731464,0.23333622235034304,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2100,0.06447298670013668,-0.03836206282808469,-0.02348432249280528,-0.00187438289313128,0.02783776447218022,0.06245654445643395,0.10803464902134904,0.16286519836497182,0.1995782412937341,0.24114546725948072,0.894,L = 0
SSP585,AFE,Country resampling,1,IE,2021,2.980433124788462e-5,-2.493434228528768e-5,-1.282118116747166e-5,-2.609960438171297e-6,1.1795045601753484e-5,2.6703179494935725e-5,4.186369398245793e-5,5.542087245943295e-5,6.269430716438484e-5,7.024843214483157e-5,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2022,7.041723928180588e-5,-8.581976550443015e-5,-5.124474237303555e-5,-2.099184412105437e-5,2.1864015944450532e-5,6.467652560304682e-5,1.088295490513369e-4,1.4926432159312333e-4,1.7513871434113307e-4,1.955930081071422e-4,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2023,1.2124052997108949e-4,-1.9291603685422652e-4,-1.2172415383203128e-4,-5.776432519106755e-5,2.8439424883591743e-5,1.1501262528085254e-4,2.0383087774808464e-4,2.9075707181690507e-4,3.4229629403520473e-4,3.855903712759039e-4,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2024,1.8167405059610345e-4,-3.3386932768369456e-4,-2.2912730304467383e-4,-1.1031825467976428e-4,3.077201489520842e-5,1.759756514931876e-4,3.206280045212617e-4,4.6901880158207744e-4,5.678397194731677e-4,6.500761089731075e-4,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2025,2.511161472461554e-4,-5.133622973816116e-4,-3.5499439283532826e-4,-1.8683971122869237e-4,2.66032345852818e-5,2.482188835785659e-4,4.607656986866382e-4,6.880657783982949e-4,8.501495538032865e-4,9.65831594765312e-4,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2026,3.172780513198692e-4,-7.41840965408877e-4,-5.367350675242799e-4,-3.099296562735554e-4,2.292779496815278e-6,3.1294318298674684e-4,6.210861916561006e-4,9.379689293012474e-4,0.001172014398692,0.00133263714607613,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2027,4.0138421192836e-4,-9.872835244629174e-4,-7.546906279890741e-4,-4.2147133493345416e-4,-1.6459159653925415e-5,3.998912896125972e-4,8.166560022265235e-4,0.00122986849016297,0.0015656769118768,0.00177149430394581,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2028,4.934876133835253e-4,-0.00129742127483853,-0.00100916550352392,-5.787898054193108e-4,-3.70153048606936e-5,5.004866678702813e-4,0.00103375212112222,0.00156447956063866,0.00198969456800594,0.00227169196720704,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2029,5.932345906984882e-4,-0.00162220365088922,-0.00126685186277188,-7.279971228817516e-4,-6.189908268977584e-5,6.049251871342309e-4,0.00127312071928487,0.00192795192092102,0.00246064849724096,0.0028255342492587,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2030,7.002741564101633e-4,-0.00199026950515924,-0.0015429090459723,-9.17822118635625e-4,-9.76454486104339e-5,7.110578283986424e-4,0.00153485300283839,0.00234151471842285,0.00297943995077224,0.0034324084634793,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2031,7.862394977268261e-4,-0.0024045465114606,-0.0018962483176197,-0.00114205065156968,-1.6598351010913004e-4,8.053782967525902e-4,0.001795464999161,0.00275494210542287,0.00354611771315828,0.00406745496739419,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2032,9.064877876764356e-4,-0.00281164321497242,-0.00224832298985858,-0.00137401116023617,-2.2016819777118113e-4,9.297106317373016e-4,0.00210690265738253,0.00324268312730995,0.00412475770778196,0.0047863085266269,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2033,0.00103414849073535,-0.00323792680557615,-0.00257406902872313,-0.00161416223049374,-2.649559531760215e-4,0.00106006090734223,0.00243730127896876,0.00376698099443867,0.00475864666901332,0.00553063661428679,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2034,0.00116905423757585,-0.00368071089546957,-0.00290516767801741,-0.00186916331464453,-3.2035756445780716e-4,0.00121690045697592,0.00276707452540617,0.00433874717572555,0.00545981270418995,0.00631952258700255,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2035,0.00131103790819386,-0.00413707166153993,-0.00330729654142556,-0.0021531550320251,-3.6972818983782574e-4,0.00136859569129338,0.00314121749109591,0.00495277322626558,0.00620660462056607,0.00715088516376849,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2036,0.00141131494584023,-0.00474811473358935,-0.00379206134575821,-0.00248408915500319,-4.8025333986834173e-4,0.00149056669531449,0.00348797598235758,0.00552746792523017,0.0069316381783005,0.00805008641271421,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2037,0.00156760855413573,-0.0053079980566939,-0.00422923415653236,-0.0027800938079487,-5.239527260109123e-4,0.0016524816024408,0.00389483590810346,0.00617477696794295,0.00774613321974251,0.00897430671149972,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2038,0.00173162546783789,-0.00586568236069456,-0.00473587464660653,-0.00309581270700335,-5.728717537619166e-4,0.0018355300549343,0.00435082404835401,0.00687049900233227,0.00858640608298581,0.00993762223436804,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2039,0.00190329955906831,-0.00641425424489723,-0.00521566168247958,-0.00336464369671809,-6.499250514910293e-4,0.00203877972877958,0.00480238915287464,0.00757513417438713,0.00945564710902234,0.01093747958152146,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2040,0.00208255841032711,-0.00705070258929725,-0.00571526518661221,-0.00366571356034774,-6.935760791004497e-4,0.00224266129302669,0.0052499985918798,0.00829479630089668,0.01035158071754443,0.0119723136785513,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2041,0.00219687397584833,-0.00769489512447604,-0.00629959462437035,-0.00404023110430706,-8.319909806832337e-4,0.00233190491941703,0.00568497376573776,0.00903310791337698,0.01125197218086389,0.0130960477004203,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2042,0.00239132154722465,-0.00833081783919994,-0.00690647764539544,-0.00435946746815203,-8.808982815861066e-4,0.00254723417548197,0.00615714080696547,0.00986124237841311,0.01223188035130802,0.01426757604804898,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2043,0.00259396489788188,-0.0089818056203849,-0.00742916580383081,-0.00471265884803662,-9.746974514751872e-4,0.00273453415021118,0.00666809880294788,0.01071413401241043,0.01330648253446116,0.0156079188115268,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2044,0.00280475340915264,-0.00964379963430788,-0.00798494561507517,-0.0049797196957912,-9.805144511638997e-4,0.00296441925809548,0.00718762725533561,0.01155604429716047,0.01444991116333538,0.01701431284246735,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2045,0.00302362362954589,-0.01031454191303279,-0.00856317163985729,-0.00535585787404449,-0.00103438663224186,0.00323078147631111,0.00774368184541812,0.01243008447432603,0.01553876374179154,0.0184385679206726,0.724,L = 1
SSP585,AFE,Country resampling,1,IE,2046,0.00315507667157766,-0.01123655663795226,-0.00919920426301609,-0.00574842108801604,-0.00115173903166906,0.0034061942894733,0.00826557890645809,0.01333228992985005,0.01655726777688836,0.0196059423162894,0.724,L = 1
