="",="(1)",="",="",=""
="",="logd_gdp",="",="",=""
="112.country_id#c.trend2",="-0.7187",="(0.7808)",="-0.92",="0.357"
="113.country_id#c.trend2",="2.8612",="(3.3816)",="0.85",="0.397"
="114.country_id#c.trend2",="0.0000",="(.)",=".",="."
="115.country_id#c.trend2",="-0.5766",="(0.6312)",="-0.91",="0.361"
="116.country_id#c.trend2",="0.0060",="(0.0091)",="0.66",="0.510"
="117.country_id#c.trend2",="0.0080",="(0.3928)",="0.02",="0.984"
="118.country_id#c.trend2",="-0.0136",="(0.0318)",="-0.43",="0.669"
="119.country_id#c.trend2",="-0.0134",="(0.0227)",="-0.59",="0.555"
="120.country_id#c.trend2",="0.0000",="(.)",=".",="."
="121.country_id#c.trend2",="0.2449",="(0.4518)",="0.54",="0.588"
="122.country_id#c.trend2",="0.7821",="(0.8894)",="0.88",="0.379"
="Observations",="6212",="",="",=""
="Groups",="122",="",="",=""
="AR(1) p-value",="0.077",="",="",=""
="AR(2) p-value",="0.077",="",="",=""
="Hansen p-value",="1.000",="",="",=""
="* p<0.10, ** p<0.05, *** p<0.01"
